,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
111,2021-12-10,1037.1870079185614,899.023042838681,1130.5679648533091,1037.1870079185614,1037.1870079185614,-19.73268640311978,-19.73268640311978,-19.73268640311978,-19.73268640311978,-19.73268640311978,-19.73268640311978,0.0,0.0,0.0,1017.4543215154416
112,2021-12-13,1034.6471397841403,908.1833688935697,1150.8006702506316,1034.6471397841403,1034.6471397841403,-3.674596571942907,-3.674596571942907,-3.674596571942907,-3.674596571942907,-3.674596571942907,-3.674596571942907,0.0,0.0,0.0,1030.9725432121975
113,2021-12-14,1033.8005170726665,918.8133557104508,1137.6358114466577,1033.8005170726665,1033.8005170726665,-8.9234564509833,-8.9234564509833,-8.9234564509833,-8.9234564509833,-8.9234564509833,-8.9234564509833,0.0,0.0,0.0,1024.877060621683
114,2021-12-15,1032.9538943611929,916.8413561347052,1140.5851259954256,1032.9538943611929,1032.9538943611929,-6.834951735244812,-6.834951735244812,-6.834951735244812,-6.834951735244812,-6.834951735244812,-6.834951735244812,0.0,0.0,0.0,1026.118942625948
115,2021-12-16,1032.1072716497192,910.7997454146398,1131.3838961598346,1032.1072716497192,1032.1072716497192,-15.362029921727839,-15.362029921727839,-15.362029921727839,-15.362029921727839,-15.362029921727839,-15.362029921727839,0.0,0.0,0.0,1016.7452417279914
116,2021-12-17,1031.2606489382454,905.3596773575673,1126.0927122764344,1031.2606489382454,1031.2606489382454,-19.732686403103123,-19.732686403103123,-19.732686403103123,-19.732686403103123,-19.732686403103123,-19.732686403103123,0.0,0.0,0.0,1011.5279625351423
117,2021-12-20,1028.7207808038243,915.0290321169767,1133.6497184304435,1028.7207808038243,1028.7207808038243,-3.6745965720020264,-3.6745965720020264,-3.6745965720020264,-3.6745965720020264,-3.6745965720020264,-3.6745965720020264,0.0,0.0,0.0,1025.0461842318223
118,2021-12-21,1027.8741580923506,904.6423118034704,1128.0779789945727,1027.8741580923506,1027.8741580923506,-8.923456450969212,-8.923456450969212,-8.923456450969212,-8.923456450969212,-8.923456450969212,-8.923456450969212,0.0,0.0,0.0,1018.9507016413814
119,2021-12-22,1027.0275353808768,909.8103668461611,1132.0836276057228,1027.0275353808768,1027.0275353808768,-6.834951735253075,-6.834951735253075,-6.834951735253075,-6.834951735253075,-6.834951735253075,-6.834951735253075,0.0,0.0,0.0,1020.1925836456237
120,2021-12-23,1026.0007461461782,902.9944622508217,1126.7370699382905,1026.0007461461782,1026.0007461461782,-15.36202992166967,-15.36202992166967,-15.36202992166967,-15.36202992166967,-15.36202992166967,-15.36202992166967,0.0,0.0,0.0,1010.6387162245086
